freq,so_eur,unit,crops,farmtype,leg_form,geo\TIME_PERIOD	2010 	2013 	2016 	2020 
A,TOTAL,PC,UAA,TOTAL,TOTAL,AT	0.85 	0.87 	0.95 	0.86 
A,TOTAL,PC,UAA,TOTAL,TOTAL,BE	2.78 	2.72 	2.77 	2.68 
A,TOTAL,PC,UAA,TOTAL,TOTAL,BG	0.24 	0.21 	0.27 	0.23 
A,TOTAL,PC,UAA,TOTAL,TOTAL,CH	1.65 	: 	1.55 	1.49 
A,TOTAL,PC,UAA,TOTAL,TOTAL,CY	1.69 	1.59 	1.51 	1.73 
A,TOTAL,PC,UAA,TOTAL,TOTAL,CZ	0.49 	0.49 	0.50 	0.47 
A,TOTAL,PC,UAA,TOTAL,TOTAL,DE	1.04 	1.08 	1.07 	0.98 
A,TOTAL,PC,UAA,TOTAL,TOTAL,DK	1.84 	1.56 	1.56 	1.59 
A,TOTAL,PC,UAA,TOTAL,TOTAL,EE	0.32 	0.32 	0.28 	0.30 
A,TOTAL,PC,UAA,TOTAL,TOTAL,EL	0.46 	0.44 	0.66 	0.70 
A,TOTAL,PC,UAA,TOTAL,TOTAL,ES	0.61 	0.61 	0.65 	0.70 
A,TOTAL,PC,UAA,TOTAL,TOTAL,EU27_2020	0.75 	0.73 	0.77 	0.75 
A,TOTAL,PC,UAA,TOTAL,TOTAL,FI	0.47 	0.51 	0.49 	0.42 
A,TOTAL,PC,UAA,TOTAL,TOTAL,FR	0.80 	0.78 	0.80 	0.75 
A,TOTAL,PC,UAA,TOTAL,TOTAL,HR	0.75 	0.54 	0.57 	0.61 
A,TOTAL,PC,UAA,TOTAL,TOTAL,HU	0.52 	0.47 	0.51 	0.43 
A,TOTAL,PC,UAA,TOTAL,TOTAL,IE	1.23 	1.18 	1.25 	1.41 
A,TOTAL,PC,UAA,TOTAL,TOTAL,IS	0.07 	: 	: 	: 
A,TOTAL,PC,UAA,TOTAL,TOTAL,IT	0.76 	0.76 	0.74 	0.81 
A,TOTAL,PC,UAA,TOTAL,TOTAL,LT	0.32 	0.29 	0.29 	0.25 
A,TOTAL,PC,UAA,TOTAL,TOTAL,LU	1.25 	1.23 	1.30 	1.24 
A,TOTAL,PC,UAA,TOTAL,TOTAL,LV	0.26 	0.25 	0.25 	0.24 
A,TOTAL,PC,UAA,TOTAL,TOTAL,ME	0.52 	: 	: 	: 
A,TOTAL,PC,UAA,TOTAL,TOTAL,MK	: 	1.10 	: 	: 
A,TOTAL,PC,UAA,TOTAL,TOTAL,MT	3.52 	3.13 	2.81 	3.27 
A,TOTAL,PC,UAA,TOTAL,TOTAL,NL	3.52 	3.52 	3.76 	3.45 
A,TOTAL,PC,UAA,TOTAL,TOTAL,NO	1.20 	1.23 	1.29 	1.20 
A,TOTAL,PC,UAA,TOTAL,TOTAL,PL	0.70 	0.62 	0.65 	0.69 
A,TOTAL,PC,UAA,TOTAL,TOTAL,PT	0.59 	0.55 	0.62 	0.63 
A,TOTAL,PC,UAA,TOTAL,TOTAL,RO	0.37 	0.35 	0.41 	0.35 
A,TOTAL,PC,UAA,TOTAL,TOTAL,RS	0.58 	: 	: 	: 
A,TOTAL,PC,UAA,TOTAL,TOTAL,SE	0.54 	0.53 	0.54 	0.55 
A,TOTAL,PC,UAA,TOTAL,TOTAL,SI	1.04 	0.97 	1.02 	1.01 
A,TOTAL,PC,UAA,TOTAL,TOTAL,SK	0.35 	0.34 	0.33 	0.33 
A,TOTAL,PC,UAA,TOTAL,TOTAL,UK	0.80 	0.74 	0.84 	: 
