country,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AL,6062,NA ,NA ,5138,NA ,NA ,NA ,NA ,3709,4674,4923,5263,4856,3975,NA 
AT,7163,5413,5923,5823,6735,6718,5390,5852,4287,4897,3960,4229,5002,3679,3181
BA,7271,NA ,NA ,6882,NA ,NA ,NA ,NA ,4560,5729,7515,6251,7093,5884,NA 
BE,9325,7194,8629,9495,9828,9062,8129,8689,6257,6210,5772,5674,5883,4538,3927
BG,19274,17303,19050,16161,15916,20002,16032,13609,14201,14669,13328,13123,12027,9909,10625
CH,5430,NA ,NA ,4890,NA ,NA ,NA ,NA ,4023,4363,3604,3633,3593,3232,NA 
CY,1137,883,963,754,793,929,1069,589,619,711,541,620,527,582,565
CZ,13111,8603,9113,10226,11841,11176,10212,10918,9853,9246,8636,9329,10310,6944,6901
DE,66680,48887,54713,63377,68721,64497,51706,58397,52066,49723,44212,45194,49282,34360,28910
DK,2990,2743,2416,2336,2583,3387,1919,1763,2420,1845,1654,1367,2204,1717,1041
EE,777,632,453,276,446,347,324,308,399,215,128,71,234,81,59
EL,15304,12565,13200,13419,11987,13001,12277,11471,9652,12500,12161,20684,11149,9482,8843
ES,34014,31420,24579,24474,19188,20907,20385,15811,15441,22196,17514,20143,15113,14738,16982
EU27,431157,349414,354165,362884,367797,392303,344018,329001,290920,321112,282065,303488,290788,231375,237810
FI,1242,1257,843,630,1012,953,772,371,886,229,227,98,456,168,63
FR,38708,32787,34907,39673,40508,40015,36634,35673,22679,28182,24428,22988,22955,18774,16539
HR,6541,5256,4910,5370,5432,5904,4250,4108,3767,4663,5128,4667,4696,3471,4128
HU,18001,13051,12956,13493,13700,16361,12506,11577,10761,13026,11293,12614,12165,8665,9502
IE,642,324,832,738,1007,770,641,879,814,393,465,277,625,597,494
IS,78,NA ,NA ,66,NA ,NA ,NA ,NA ,74,66,61,63,57,49,NA 
TR,72051,60778,58897,58400,52244,66464,60436,55114,45690,60982,49620,54665,46877,42668,52303
LI,16,NA ,NA ,13,NA ,NA ,NA ,NA ,9,12,12,10,10,9,NA 
LT,3225,2631,3029,2158,3158,2573,2255,2476,2818,2103,2054,1488,2114,1881,1462
LU,260,207,236,279,277,237,208,241,183,201,175,150,150,94,75
LV,2639,1615,2396,1688,2044,1426,1524,1551,1780,1247,1238,899,1434,1003,833
ME,1009,NA ,NA ,982,NA ,NA ,NA ,NA ,759,915,977,931,1005,911,NA 
MK,5568,NA ,NA ,4913,NA ,NA ,NA ,NA ,4254,4573,5266,5672,4825,3365,NA 
MT,350,272,227,260,188,243,182,173,162,199,151,173,197,189,153
NL,11978,10164,11274,11236,11894,11666,8647,9197,8600,7681,6643,6700,7562,6058,4972
NO,2119,NA ,NA ,1698,NA ,NA ,NA ,NA ,1567,1315,1314,1167,1425,1224,NA 
PL,42132,36060,40367,42336,52628,50074,47682,45881,45106,44472,41561,44825,46783,35654,36530
PT,9161,6279,4287,5215,4068,4868,3680,3648,2619,3942,2912,3039,2636,2515,2640
RO,42282,33103,30289,26377,21919,29334,28350,23034,22040,23998,21591,23470,23151,18472,21556
RS,16685,NA ,NA ,14461,NA ,NA ,NA ,NA ,11736,12998,13265,15443,14221,11383,NA 
SE,3440,3090,2569,1660,2086,2667,1597,786,1641,796,735,413,900,530,370
SI,2033,1558,1565,1698,1718,1954,1634,1605,1305,1656,1469,1556,1499,1143,1238
SK,6697,5339,5542,5332,5876,6768,5577,5280,4874,5130,4469,5032,4857,3463,3918
TR,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,33918,NA ,44127,42184,NA 
XK,4531,NA ,NA ,4456,NA ,NA ,NA ,NA ,3617,3695,3638,3971,3902,2849,NA 
