country,2009,2012,2015,2018
AT,45.2,45,46.7,46.4
BE,21.7,22.4,23.1,24.3
BG,NA ,42.2,44.7,48
CY,NA ,33.3,39.7,43.2
CZ,37,37.5,37.7,37.9
DE,30.9,31.1,32.2,32.4
DK,13.7,13.4,15.6,16.4
EE,55.6,57.6,58.2,58.3
EL,38.4,40.4,44.5,47.5
ES,33.5,36.6,39.2,41.2
EU27_2007,NA ,40.3,41.6,42
EU27_2020,NA ,NA ,42.6,43.5
EU28,NA ,NA ,41.7,42.3
EU_V,39.3,40.7,41.9,42.3
FI,68.7,70.5,71.3,69.9
FR,30.1,30.6,31,32.8
HR,NA ,NA ,50.6,58
HU,22,23.4,25.2,26.1
IE,15.8,22,22.4,19
IT,33.6,35,35.6,37
LT,36.3,37.8,38.3,39.6
LU,34.4,34,36.3,35.5
LV,53.2,55,56.4,56.2
MT,NA ,13.1,11.5,10.4
NL,7.4,7.4,8,10.9
PL,33.2,34.6,36.1,36.4
PT,36.9,41.9,46.6,49.9
RO,NA ,32.5,34.1,35.5
SE,64.6,66.5,66.5,67
SI,62.1,62,63.4,62.5
SK,45.8,47,48.7,48.6
UK,25.3,25.6,26.9,20.9
