country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BE,0,15.78,23.46,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
BG,0.07,25.15,0.03,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.02,0.01,0.02,0.03,0,0,0,0
CY,0.05,0.03,0,0,0,0,0,0,0,0,0,0,0,0.04,0.01,0.03,0.02,0.01,0.06,0.04,0.02,0.01,0.01
CZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE,2.95,0.15,0.07,0,0,0,0.03,0.3,0.54,0,0,0.27,0,0.23,0,0,0,0,0.06,0,1.52,0.02,0.02
DK,5.4,0.17,1.07,0,0,0,0.01,4.52,1.84,0.05,0,8.43,0,0.17,0,0.71,0.02,0.01,0.02,0,0.03,0.74,2.44
EE,0.05,0.14,0,0,0,0,0,0,0,0,0.07,0.03,0.27,0.55,0.16,0.29,0.18,0.3,1.13,0.33,0.29,0.04,0
EL,0.09,0.09,0.01,0.01,0,0,0,0,0,0,0,0.01,0.01,0.1,0.11,0.22,0.12,0.1,0.22,0.2,0.09,2.8,0.02
ES,0.36,0.35,0.27,0,0.01,0.24,0.03,2.51,0.05,0.01,0.78,0,0.17,0.09,0.03,1.61,0.18,0,2.71,0.58,0.41,0.91,0.6
EU_V,0.4,1.41,3.33,0.38,0.02,0.23,0.01,0.85,0.78,0.07,0.21,0.22,0.21,0.1,0.08,0.54,0.16,0.05,0.85,0.25,0.2,0.57,1.02
FI,1.58,3.95,0.02,0.01,0,0.01,0.01,0,0,0,0.01,0.02,0.27,0.4,0.27,0.37,0.37,0.37,0.44,0.57,0.66,0.11,1.28
FR,1.2,1.45,0.17,0.57,0.27,0,0,4.26,2.01,0.11,0.29,0.02,0,0.19,0.02,0.04,0.03,0.02,0.94,0.08,0.25,0.04,0.38
HR,0.1,0.38,0.01,0,0,0,0,0,0,0,0.01,0.04,0.01,0.47,0.21,0.23,0.22,0.25,0.59,0.22,0.42,0.06,0.02
HU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IE,0.14,0,0.01,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06
IT,0.07,0.12,0.01,0,0,0.01,0,0,0,0,0,0,0,0.14,0.18,0.13,0.07,0.05,0.14,0.07,0.05,0.01,0
LT,0.1,0.08,0,0,0,0.04,0,0,7.6,0,0,0,0.02,0.36,0.16,0.12,0.2,0.74,0.2,0.16,0.22,0.14,0
LU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LV,0.1,0.09,0.02,0.01,0,0,0,0,17.14,0,0.02,0,0.09,0.07,0.15,0.15,0.13,0.26,0.37,0.13,0.17,0.03,0
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0
NL,0.02,5.56,1.64,0,0.01,0,0,0.28,0.01,0,0.01,0,0,0.34,0,0,0,0,0.03,0,0,2.53,0.18
PL,0.08,0.04,0,0,0,0,0,0,37.83,0,0,0,0.04,0.2,0.14,0.1,0.1,0.14,0.08,0.21,0.22,0.03,0
PT,0.03,2.46,9.98,1.07,0,0.57,0.01,0.02,0.01,0.17,0.14,0.14,0.52,0.04,0.1,0.51,0.28,0.05,0.67,0.26,0.13,0.26,1.91
RO,0.03,6.76,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.07,0.01,0,0.01,0,0,0,0
SE,1.68,3.25,0.01,0,0,0,0.01,0,9.94,0,0.01,0.01,0.07,0.2,0.21,0.4,0.22,0.32,0.31,0.47,0.66,0.42,6.67
SI,0,10.11,0,0,0,0,0,0,0,0,0,0,0,3.72,2.66,0.53,0,1.06,1.06,1.06,0,1.06,0
SK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
